SNo,Location,Primary,BoardingPoint,Time,Day,Latitude,Longitude,PointType
1,Hyderabad,Lakdikapool,"Near Pillar No 1200, The Cent Hotel",22:30,Day 1,17.406401,78.462799,boarding_point
2,Hyderabad,Ameerpet,"Infront of Bajaj Electronics, Pillar No. 1039",22:50,Day 1,17.439301,78.442596,boarding_point
3,Hyderabad,Erragadda,"Metro Station, Infront of Pillar No. 942, Towards Kukatpally",22:55,Day 1,17.4575,78.433296,boarding_point
4,Hyderabad,Kukatpally,"Infront of Airtel Stores, Pillar No. A-818, Opp BJP Office",23:05,Day 1,17.4827,78.413696,boarding_point
5,Hyderabad,KPHB,"Metro Pillar No. 738, Infront of KPHB Bus Stop, Towards Miyapur",23:10,Day 1,17.4944,78.3993,boarding_point
6,Hyderabad,JNTU,"Infront of Bitcha Reddy Sweets, Piller No. 708",23:15,Day 1,17.4981,78.391502,boarding_point
7,Hyderabad,Miyapur,"Infront of Bommarillu Restaurant, Near Bus Stand",23:25,Day 1,17.4965,78.363297,boarding_point
8,Hyderabad,Madinaguda,Infront of South India Shopping Mall,23:30,Day 1,17.494499,78.346703,boarding_point
9,Hyderabad,Chandanagar - Boarding Zone,"IntrCity Boarding Zone, Shiv Sai Krupa Travels, Cellar Chinnam Balaji Towers, Beside Dry Fruit, Vijetha Super Market",23:35,Day 1,17.4946,78.321999,boarding_point
10,Hyderabad,Ashok Nagar,Opp Asian Jyothi Cinemas,23:40,Day 1,17.5024,78.3114,boarding_point
11,Hyderabad,Patancheru,Infront of Bus Stand,23:50,Day 1,17.5294,78.263901,boarding_point
12,Hyderabad,Patancheru,Infront of Bus Stand,23:50,Day 1,17.5294,78.263901,tracking_point
13,Sangareddy,Sangareddy Bypass,"Sangareddy Chowrasta, Infront of Chiritha Hospital",00:20,Day 2,17.5879,78.083603,boarding_point
14,Zaheerabad,Zaheerabad Bypass,Infront of Mahindra Gate,01:20,Day 2,17.691,77.578796,boarding_point
15,Solapur,Solapur Bypass,"Near Market Yard Chowk Bus Stop, NH-65, Bhavani Peth",05:05,Day 2,17.6828,75.927803,boarding_point
16,Solapur,Solapur Bypass,"Near Market Yard Chowk Bus Stop, NH-65, Bhavani Peth",05:05,Day 2,17.6828,75.927803,dropping_point
17,Pune,Bhigwan,"Opp Bigwan Police Chowki, Pune Highway",07:50,Day 2,18.305,74.751701,dropping_point
18,Pune,Kusurdi,Hotel Delhi Darbar (Bio Break - 15 Minutes),08:50,Day 2,18.4827,74.237297,bio_break
19,Pune,Hadapsar,Infront of Vaibhav Theatre Bus Stop,09:50,Day 2,18.499399,73.947899,dropping_point
20,Pune,Hadapsar,Infront of Vaibhav Theatre Bus Stop,09:50,Day 2,18.499399,73.947899,tracking_point
21,Pune,Fatima Nagar,Fatima Nagar Bus Stop,10:05,Day 2,18.506399,73.902,dropping_point
22,Pune,Railway Station,Jehangir Hospital Bus Stop,10:25,Day 2,18.5317,73.876297,dropping_point
23,Pune,Wakdewadi,"Neeta Travels, Near TVS Showroom",10:35,Day 2,18.5401,73.850998,dropping_point
24,Pune,Nashik Phata,"Ishwar Travels, Near Kasarwadi Railway Station",10:50,Day 2,18.608299,73.821503,dropping_point
25,Pune,Wakad,"Below Hinjewadi Flyover, Bhujbal Chowk",11:10,Day 2,18.592501,73.757103,dropping_point
26,Pune,Chinchwad,Aditya Birla Hospital,11:20,Day 2,18.625099,73.775497,dropping_point
27,Pune,Nigdi,"Bhakti-Shakti Chowk, Above Flyover",11:35,Day 2,18.664659,73.772822,dropping_point
