974 - Pune-Hyderabad | Sivapurna Mobility | 07:45 PM,,,,,,,,
SNo,Location,Primary,BoardingPoint,Time,Day,Latitude,Longitude,PointType
1,Pune,Nigdi,"Infront of MSRTC Bus Stop, Near Pradhikaran Police Chowki, Service Lane of Old Pune-Mumbai Highway, Towards Mumbai",18:00,Day 1,18.662064,73.774483,boarding_point
2,Pune,Ravet,"Near HP Petrol Pump And CNG Station, Opp Sentosa Resorts, On Mumbai-Bangalore Highway",18:15,Day 1,18.653799,73.733299,boarding_point
3,Pune,Wakad,"Infront of Ginger Hotel, Near Bus Stop, New Mumbai-Pune Highway",18:25,Day 1,18.606701,73.7519,boarding_point
4,Pune,Wakad - IntrCity Lounge,"IntrCity SmartBus Lounge, Bhujbal Chowk, Under Wakad-Hinjewadi Bridge, Mumbai-Bangalore Highway Service Lane",18:40,Day 1,18.592699,73.757401,boarding_point
5,Pune,Hinjewadi,"Bhujbal Chowk, Wakad, Near Orange Travels Office",18:40,Day 1,18.5926,73.7575,boarding_point
6,Pune,Vishal Nagar Bus Stop,Vishal Nagar Bus Stop,19:00,Day 1,18.5882,73.784698,boarding_point
7,Pune,Aundh,Before Bremen Circle,19:10,Day 1,18.560911,73.814613,boarding_point
8,Pune,Railway Station - Boarding Zone.,"IntrCity Boarding Zone, Modern Travels, Opp Jahangir Hospital",19:45,Day 1,18.531601,73.876198,boarding_point
9,Pune,Fatima Nagar,After Ashtavinayak Ganesh Temple Lane,20:10,Day 1,18.506599,73.903198,boarding_point
10,Pune,Hadapsar - Dattakrupa Parking - Boarding Zone,"IntrCity Boarding Zone, Krishna Tours And Travels, Shop No.2, Nandini Takle Nagar, Pune-Solapur Highway, Near Dhone Kia And Ford Showroom, Manjri BK",20:35,Day 1,18.497801,73.964401,boarding_point
11,Pune,Urali Kanchan,Opp Sonai Hotel,21:15,Day 1,18.4876,74.134598,boarding_point
12,Pune,Hotel New Amantran,Uruli Kanchan (Dinner Break-Arrival),21:20,Day 1,18.487201,74.147401,tracking_point
13,Pune,Hotel New Amantran,Uruli Kanchan (Dinner Break - 30 Minutes) (A),21:25,Day 1,18.487201,74.147901,rest_point
14,Pune,Hotel New Amantran,Uruli Kanchan (Dinner Break-Departure),22:00,Day 1,18.487101,74.148701,tracking_point
15,Pune,Patas Toll Naka,After Patas Toll Naka,22:10,Day 1,18.4244,74.4664,boarding_point
16,Pune,Kurkumbh,"Near State Bank of India ATM, Solapur Highway",22:20,Day 1,18.3955,74.524498,boarding_point
17,Pune,Bhigwan,Infront of Indian Oil Petrol Pump,22:45,Day 1,18.293501,74.753899,boarding_point
18,Indapur,Sardewadi Toll Plaza,"Sardewadi Toll Plaza, Solapur Highway",23:30,Day 1,18.0966,75.067299,boarding_point
19,Tembhurni,Tembhurni Bypass,"Near Jagdamba Pure Veg, Opp Hotel Atithi",23:45,Day 1,18.015301,75.221397,boarding_point
20,Solapur,Market Yerd Chowk,"Solapur Market Yard Chowk, Hyderabad Road",01:15,Day 2,17.683001,75.927902,boarding_point
21,Solapur,Market Yerd Chowk,"Solapur Market Yard Chowk, Hyderabad Road",01:15,Day 2,17.683001,75.927902,dropping_point
22,Umerga,Omerga Bypass,Near HP Petrol Pump Vijayshree Petroleum,02:40,Day 2,17.8445,76.601097,boarding_point
23,Umerga,Omerga Bypass,Near HP Petrol Pump Vijayshree Petroleum,02:40,Day 2,17.8445,76.601097,dropping_point
24,Bangla,Bangla Bypass,Opp ARTO,03:25,Day 2,17.823999,76.928802,boarding_point
25,Bangla,Bangla Bypass,Opp ARTO,03:25,Day 2,17.823999,76.928802,dropping_point
26,Humnabad,Humnabad Bypass,Opp Bharat Petrol Pump,03:45,Day 2,17.7687,77.1036,dropping_point
27,Zaheerabad,Zaheerabad Bypass,Mahindra Chourasta,04:30,Day 2,17.6875,77.585899,dropping_point
28,Hyderabad,Zaheerabad Bypass,Mahindra Chourasta,04:30,Day 2,17.6875,77.585899,dropping_point
29,Zaheerabad,Woxsen College,Kamkole,04:50,Day 2,17.6506,77.799797,dropping_point
30,Hyderabad,"Woxsen College, Kamkole",Sadasivpet,04:50,Day 2,17.6506,77.799797,dropping_point
31,Sangareddy,Sangareddy Bypass,"HP Petrol Pump, After Chowrasta",05:20,Day 2,17.5879,78.084503,dropping_point
32,Hyderabad,Sangareddy Bypass,"HP Petrol Pump, After Chowrasta",05:20,Day 2,17.5879,78.084503,dropping_point
33,Hyderabad,Isnapur X Road,Infront of FM Pride Function Hall,05:40,Day 2,17.5516,78.204803,dropping_point
34,Hyderabad,Patancheru,Patancheru Bus Terminal,05:50,Day 2,17.5296,78.263802,dropping_point
35,Hyderabad,Ashok Nagar,Infront of Asian Jyothi Cinema,06:00,Day 2,17.5026,78.311699,dropping_point
36,Hyderabad,Chandanagar,Infront of Kritunga Restaurant,06:05,Day 2,17.4951,78.322304,dropping_point
37,Hyderabad,Allwyn X Road,Beside Sri Hema Durga Mata Temple,06:15,Day 2,17.4949,78.354103,dropping_point
38,Hyderabad,Miyapur,Infront of IOCL Petrol Pump,06:20,Day 2,17.496799,78.362503,dropping_point
39,Hyderabad,Nizampet X Road,"Infront of More Mega Mart, Pillar No. 705",06:25,Day 2,17.4986,78.3909,dropping_point
40,Hyderabad,KPHB,"Infront of Chandana Brothers, Pillar No. 736",06:30,Day 2,17.495399,78.398903,dropping_point
41,Hyderabad,Vivekananda Nagar,Infront of G.Pullareddy Sweets,06:35,Day 2,17.4918,78.406502,dropping_point
42,Hyderabad,Kukatpally - Boarding Zone,"IntrCity Boarding Zone, JD Travels, Kukatpally RTC Bus Stop, Pillar No. 815, Near BJP Office Towards Ameerpet Road",06:40,Day 2,17.4835,78.4133,dropping_point
43,Hyderabad,Erragadda,"Erragadda Metro Station, Pillar No. 948",06:50,Day 2,17.457899,78.433197,dropping_point
44,Hyderabad,S R Nagar,"Infront of ICICI Bank, Pillar No. 1039",06:55,Day 2,17.439301,78.442902,dropping_point
45,Hyderabad,Ameerpet,"Infront of South India Shopping Mall, Pillar No.1060",07:00,Day 2,17.435116,78.444999,dropping_point
46,Hyderabad,Lakdikapool - IntrCity Lounge,"IntrCity Lounge, SM Estate Commercial Complex, Opp Vasavi Hospital",07:10,Day 2,17.4062,78.464104,dropping_point
